uf_id,uf_nome,ano,populacao
12,Acre,2001,574355
12,Acre,2002,586942
12,Acre,2003,600595
12,Acre,2004,630328
12,Acre,2005,669736
12,Acre,2006,686652
12,Acre,2008,680075
12,Acre,2009,691132
12,Acre,2011,746386
12,Acre,2012,758786
12,Acre,2013,776463
12,Acre,2014,790101
12,Acre,2015,803513
12,Acre,2016,816687
12,Acre,2017,829619
12,Acre,2018,869265
12,Acre,2019,881935
12,Acre,2020,894470
12,Acre,2021,906876
12,Acre,2024,880631
12,Acre,2025,884372
27,Alagoas,2001,2856629
27,Alagoas,2002,2887535
27,Alagoas,2003,2917664
27,Alagoas,2004,2980910
27,Alagoas,2005,3015912
27,Alagoas,2006,3050652
27,Alagoas,2008,3127560
27,Alagoas,2009,3156108
27,Alagoas,2011,3143384
27,Alagoas,2012,3165472
27,Alagoas,2013,3300935
27,Alagoas,2014,3321730
27,Alagoas,2015,3340932
27,Alagoas,2016,3358963
27,Alagoas,2017,3375823
27,Alagoas,2018,3322820
27,Alagoas,2019,3337357
27,Alagoas,2020,3351543
27,Alagoas,2021,3365351
27,Alagoas,2024,3220104
27,Alagoas,2025,3220848
16,Amapá,2001,498735
16,Amapá,2002,516511
16,Amapá,2003,534835
16,Amapá,2004,547400
16,Amapá,2005,594587
16,Amapá,2006,615715
16,Amapá,2008,613166
16,Amapá,2009,626609
16,Amapá,2011,684309
16,Amapá,2012,698602
16,Amapá,2013,734996
16,Amapá,2014,750912
16,Amapá,2015,766679
16,Amapá,2016,782295
16,Amapá,2017,797722
16,Amapá,2018,829494
16,Amapá,2019,845731
16,Amapá,2020,861773
16,Amapá,2021,877613
16,Amapá,2024,802837
16,Amapá,2025,806517
13,Amazonas,2001,2900240
13,Amazonas,2002,2961801
13,Amazonas,2003,3031068
13,Amazonas,2004,3138726
13,Amazonas,2005,3232330
13,Amazonas,2006,3311026
13,Amazonas,2008,3341094
13,Amazonas,2009,3393369
13,Amazonas,2011,3538387
13,Amazonas,2012,3590985
13,Amazonas,2013,3807921
13,Amazonas,2014,3873743
13,Amazonas,2015,3938336
13,Amazonas,2016,4001667
13,Amazonas,2017,4063614
13,Amazonas,2018,4080611
13,Amazonas,2019,4144597
13,Amazonas,2020,4207714
13,Amazonas,2021,4269995
13,Amazonas,2024,4281209
13,Amazonas,2025,4321616
29,Bahia,2001,13214114
29,Bahia,2002,13323212
29,Bahia,2003,13435612
29,Bahia,2004,13682074
29,Bahia,2005,13815334
29,Bahia,2006,13950146
29,Bahia,2008,14502563
29,Bahia,2009,14637364
29,Bahia,2011,14097534
29,Bahia,2012,14175341
29,Bahia,2013,15044137
29,Bahia,2014,15126371
29,Bahia,2015,15203334
29,Bahia,2016,15276566
29,Bahia,2017,15344447
29,Bahia,2018,14812617
29,Bahia,2019,14873064
29,Bahia,2020,14930634
29,Bahia,2021,14985284
29,Bahia,2024,14850513
29,Bahia,2025,14870907
23,Ceará,2001,7547620
23,Ceará,2002,7654535
23,Ceará,2003,7758441
