municipio_id,municipio_nome,uf_sigla,ano,populacao
1200013,Acrelândia,AC,2001,8237
1200013,Acrelândia,AC,2002,8454
1200013,Acrelândia,AC,2003,8695
1200013,Acrelândia,AC,2004,10668
1200013,Acrelândia,AC,2005,11451
1200013,Acrelândia,AC,2006,11786
1200013,Acrelândia,AC,2008,11987
1200013,Acrelândia,AC,2009,12241
1200013,Acrelândia,AC,2011,12779
1200013,Acrelândia,AC,2012,13011
1200013,Acrelândia,AC,2013,13353
1200013,Acrelândia,AC,2014,13613
1200013,Acrelândia,AC,2015,13869
1200013,Acrelândia,AC,2016,14120
1200013,Acrelândia,AC,2017,14366
1200013,Acrelândia,AC,2018,15020
1200013,Acrelândia,AC,2019,15256
1200013,Acrelândia,AC,2020,15490
1200013,Acrelândia,AC,2021,15721
1200013,Acrelândia,AC,2024,14657
1200013,Acrelândia,AC,2025,14712
1200054,Assis Brasil,AC,2001,3564
1200054,Assis Brasil,AC,2002,3611
1200054,Assis Brasil,AC,2003,3667
1200054,Assis Brasil,AC,2004,4852
1200054,Assis Brasil,AC,2005,5063
1200054,Assis Brasil,AC,2006,5153
1200054,Assis Brasil,AC,2008,5559
1200054,Assis Brasil,AC,2009,5662
1200054,Assis Brasil,AC,2011,6192
1200054,Assis Brasil,AC,2012,6308
1200054,Assis Brasil,AC,2013,6480
1200054,Assis Brasil,AC,2014,6610
1200054,Assis Brasil,AC,2015,6738
1200054,Assis Brasil,AC,2016,6863
1200054,Assis Brasil,AC,2017,6986
1200054,Assis Brasil,AC,2018,7300
1200054,Assis Brasil,AC,2019,7417
1200054,Assis Brasil,AC,2020,7534
1200054,Assis Brasil,AC,2021,7649
1200054,Assis Brasil,AC,2024,8573
1200054,Assis Brasil,AC,2025,8648
1200104,Brasiléia,AC,2001,17384
1200104,Brasiléia,AC,2002,17649
1200104,Brasiléia,AC,2003,17944
1200104,Brasiléia,AC,2004,16940
1200104,Brasiléia,AC,2005,17721
1200104,Brasiléia,AC,2006,18056
1200104,Brasiléia,AC,2008,19829
1200104,Brasiléia,AC,2009,20238
1200104,Brasiléia,AC,2011,21837
1200104,Brasiléia,AC,2012,22261
1200104,Brasiléia,AC,2013,22899
1200104,Brasiléia,AC,2014,23378
1200104,Brasiléia,AC,2015,23849
1200104,Brasiléia,AC,2016,24311
1200104,Brasiléia,AC,2017,24765
1200104,Brasiléia,AC,2018,25848
1200104,Brasiléia,AC,2019,26278
1200104,Brasiléia,AC,2020,26702
1200104,Brasiléia,AC,2021,27123
1200104,Brasiléia,AC,2024,27841
1200104,Brasiléia,AC,2025,28028
1200138,Bujari,AC,2001,6154
1200138,Bujari,AC,2002,6382
1200138,Bujari,AC,2003,6641
1200138,Bujari,AC,2004,7654
1200138,Bujari,AC,2005,8423
1200138,Bujari,AC,2006,8751
1200138,Bujari,AC,2008,6745
1200138,Bujari,AC,2009,6772
1200138,Bujari,AC,2011,8629
1200138,Bujari,AC,2012,8782
1200138,Bujari,AC,2013,9003
1200138,Bujari,AC,2014,9173
1200138,Bujari,AC,2015,9339
1200138,Bujari,AC,2016,9503
1200138,Bujari,AC,2017,9664
1200138,Bujari,AC,2018,10111
1200138,Bujari,AC,2019,10266
1200138,Bujari,AC,2020,10420
1200138,Bujari,AC,2021,10572
1200138,Bujari,AC,2024,13766
1200138,Bujari,AC,2025,13928
1200179,Capixaba,AC,2001,5561
1200179,Capixaba,AC,2002,5814
1200179,Capixaba,AC,2003,6096
1200179,Capixaba,AC,2004,6287
1200179,Capixaba,AC,2005,7067
1200179,Capixaba,AC,2006,7403
